Date,High,Low,Open,Close,Volume,Adj Close
2008-04-28,5.4375,5.4375,5.4375,5.4375,0.0,3.8477344512939453
2008-04-29,5.4375,5.4375,5.4375,5.4375,0.0,3.8477344512939453
2008-04-30,5.4375,5.4375,5.4375,5.4375,0.0,3.8477344512939453
2008-05-01,5.4375,5.4375,5.4375,5.4375,0.0,3.8477344512939453
2008-05-02,5.4375,5.4375,5.4375,5.4375,0.0,3.8477344512939453
2008-05-05,5.4375,5.4375,5.4375,5.4375,0.0,3.8477344512939453
2008-05-06,5.4375,5.4375,5.4375,5.4375,0.0,3.8477344512939453
2008-05-07,5.4375,5.4375,5.4375,5.4375,0.0,3.8477344512939453
2008-05-08,5.4375,5.4375,5.4375,5.4375,0.0,3.8477344512939453
2008-05-09,5.4375,5.4375,5.4375,5.4375,0.0,3.8477344512939453
2008-05-12,5.4375,5.4375,5.4375,5.4375,0.0,3.8477344512939453
2008-05-13,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-05-14,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-05-15,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-05-16,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-05-19,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-05-20,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-05-21,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-05-22,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-05-23,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-05-27,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-05-28,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-05-29,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-05-30,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-06-02,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-06-03,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-06-04,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-06-05,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-06-06,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-06-09,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-06-10,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-06-11,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-06-12,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-06-13,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-06-16,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-06-17,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-06-18,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-06-19,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-06-20,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-06-23,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-06-24,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-06-25,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-06-26,5.4375,5.4375,5.4375,5.4375,0.0,3.89892840385437
2008-06-27,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-06-30,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-01,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-02,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-03,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-07,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-08,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-09,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-10,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-11,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-14,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-15,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-16,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-17,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-18,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-21,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-22,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-23,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-24,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-25,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-28,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-29,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-30,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-07-31,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-01,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-04,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-05,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-06,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-07,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-08,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-11,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-12,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-13,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-14,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-15,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-18,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-19,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-20,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-21,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-22,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-25,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-26,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-27,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-28,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-08-29,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-09-02,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-09-03,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-09-04,5.4375,5.4375,5.4375,5.4375,0.0,3.948288679122925
2008-09-05,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-09-08,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-09-09,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-09-10,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-09-11,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-09-12,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-09-15,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-09-16,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-09-17,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-09-18,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-09-19,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-09-22,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-09-23,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-09-24,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-09-25,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-09-26,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-09-29,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-09-30,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-01,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-02,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-03,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-06,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-07,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-08,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-09,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-10,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-13,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-14,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-15,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-16,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-17,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-20,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-21,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-22,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-23,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-24,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-27,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-28,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-29,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-30,5.4375,5.4375,5.4375,5.4375,0.0,4.138567924499512
2008-10-31,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-11-03,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-11-04,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-11-05,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-11-06,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-11-07,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-11-10,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-11-11,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-11-12,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-11-13,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-11-14,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-11-17,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-11-18,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-11-19,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-11-20,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-11-21,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-11-24,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-11-25,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-11-26,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-11-28,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-12-01,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-12-02,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-12-03,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-12-04,5.4375,5.4375,5.4375,5.4375,0.0,4.189652442932129
2008-12-05,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2008-12-08,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2008-12-09,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2008-12-10,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2008-12-11,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2008-12-12,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2008-12-15,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2008-12-16,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2008-12-17,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2008-12-18,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2008-12-19,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2008-12-22,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2008-12-23,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2008-12-24,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2008-12-26,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2008-12-29,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2008-12-30,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2008-12-31,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-01-02,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-01-05,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-01-06,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-01-07,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-01-08,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-01-09,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-01-12,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-01-13,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-01-14,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-01-15,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-01-16,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-01-20,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-01-21,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-01-22,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-01-23,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-01-26,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-01-27,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-01-28,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-01-29,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-01-30,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-02-02,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-02-03,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-02-04,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-02-05,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-02-06,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-02-09,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-02-10,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-02-11,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-02-12,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-02-13,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-02-17,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-02-18,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-02-19,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-02-20,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-02-23,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-02-24,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-02-25,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-02-26,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-02-27,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-02,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-03,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-04,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-05,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-06,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-09,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-10,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-11,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-12,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-13,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-16,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-17,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-18,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-19,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-20,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-23,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-24,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-25,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-26,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-27,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-30,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-03-31,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-01,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-02,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-03,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-06,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-07,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-08,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-09,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-13,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-14,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-15,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-16,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-17,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-20,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-21,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-22,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-23,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-24,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-27,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-28,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-29,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-04-30,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-05-01,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-05-04,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-05-05,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-05-06,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-05-07,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-05-08,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-05-11,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-05-12,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-05-13,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-05-14,5.4375,5.4375,5.4375,5.4375,0.0,4.242891788482666
2009-05-15,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-05-18,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-05-19,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-05-20,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-05-21,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-05-22,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-05-26,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-05-27,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-05-28,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-05-29,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-01,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-02,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-03,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-04,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-05,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-08,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-09,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-10,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-11,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-12,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-15,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-16,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-17,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-18,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-19,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-22,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-23,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-24,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-25,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-26,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-29,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-06-30,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-01,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-02,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-06,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-07,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-08,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-09,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-10,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-13,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-14,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-15,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-16,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-17,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-20,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-21,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-22,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-23,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-24,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-27,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-28,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-29,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-30,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-07-31,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-03,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-04,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-05,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-06,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-07,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-10,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-11,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-12,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-13,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-14,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-17,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-18,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-19,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-20,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-21,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-24,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-25,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-26,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-27,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-28,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-08-31,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-09-01,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-09-02,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-09-03,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-09-04,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-09-08,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-09-09,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-09-10,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-09-11,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-09-14,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-09-15,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-09-16,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-09-17,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-09-18,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-09-21,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-09-22,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-09-23,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-09-24,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
2009-09-25,5.4375,5.4375,5.4375,5.4375,0.0,4.28462553024292
